,id,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,A_Seqv,B_Seqv,C_Seqv,D_Seqv
id,1.0,-0.7685328559447383,-0.6144014426471408,-0.6406898420455656,-0.5935605924385585,-0.022468817418788086,-0.5154692903078514,-0.5389111281705308,-0.779541206014191,-0.6812092913715074,-0.4848944335926174,-0.6610109938703869,-0.5420432978133845,-0.709840032890551,-0.5404691563255819,-0.5501684304042684,-0.3995737674730552,-0.6381714529917476,-0.4790111930728089,-0.6496395831601081,-0.46980184031059413,-0.6045439194600797,-0.47171213735366324,0.7470997756456316,0.7586173230695265,0.7394548435865835,0.7313329782248146
F1,-0.7685328559447383,1.0,0.9077107043653574,0.8676720755931516,0.8570479001198976,-0.009448668775603703,0.8061490847812554,0.8841767588069449,0.9819821681783182,0.9486053051815467,0.81259229725165,0.9601791520890447,0.8860978860989647,0.9627175214705133,0.8417123112739441,0.8842049090752194,0.7567219071045116,0.9435036994688525,0.8073202525735623,0.8535326176225564,0.8256248644813432,0.8496377786428363,0.8228523908953276,-0.8577825310316267,-0.8245672891628218,-0.859896801349674,-0.8315571342807028
F2,-0.6144014426471408,0.9077107043653574,1.0,0.9207374248358603,0.908457801155252,-0.03787383060813777,0.7350946438368714,0.9884483640877527,0.8857075749937254,0.9257241488652809,0.8739732380086237,0.8693840440120646,0.9792518087616731,0.946573918259916,0.9012364795312117,0.8693265526253269,0.811615318036986,0.9330448552206646,0.8654128823908198,0.7943977586996924,0.8939788065424935,0.7870783206582024,0.891257200622918,-0.862536975481159,-0.8073541038755518,-0.8689917825757317,-0.8339439383658211
F3,-0.6406898420455656,0.8676720755931516,0.9207374248358603,1.0,0.870119739061955,-0.046698403904106706,0.6740841954039086,0.9062872674821316,0.8606314126947004,0.898438535008537,0.8380058644230984,0.8254474361520832,0.9093881032294725,0.9141294150652037,0.8612022358592335,0.8405491764314804,0.7885635607489433,0.8949565304360277,0.8344637278722765,0.7821981333392597,0.8562317034137168,0.7548969395110536,0.853607834091166,-0.8238962781232094,-0.7734214785336796,-0.8293816289091007,-0.7956319638060914
F4,-0.5935605924385585,0.8570479001198976,0.908457801155252,0.870119739061955,1.0,-0.01081684566870971,0.48318159435974867,0.9008364700239635,0.9031100137545772,0.9227448052649664,0.9860847303975092,0.7731545298286282,0.9485742382862492,0.9348908503090932,0.9937051367074308,0.8961576637319552,0.9557902352670696,0.9061614786395396,0.9820831786907357,0.8546841085671517,0.9749061269297928,0.7484967171929846,0.9777346228014594,-0.7238913117778674,-0.6605380916601119,-0.7308960549440237,-0.6855420546188331
F5,-0.022468817418788086,-0.009448668775603703,-0.03787383060813777,-0.046698403904106706,-0.01081684566870971,1.0,-0.053573049175036254,-0.04882167109562036,-0.0026207493437586877,-0.030150967578047243,-0.02568900903838933,-0.02917606778234231,-0.03816439124506425,-0.02238616134147454,-0.01256519943175761,-0.033593570762195074,-0.018576408117032872,-0.03341546597096353,-0.020404421483089796,-0.026948608648900325,-0.044954039736955616,-0.049977833839222496,-0.03769693360826942,0.007919417211506906,0.004887416388838612,0.008757843006071101,0.007006411285162562
F6,-0.5154692903078514,0.8061490847812554,0.7350946438368714,0.6740841954039086,0.48318159435974867,-0.053573049175036254,1.0,0.7458387726688658,0.7117504240591136,0.7245470531471901,0.4529011186343758,0.8968203516681686,0.6794466485853938,0.7286367824068832,0.4876607029580282,0.6653631945992529,0.39047843284854905,0.7572210651531293,0.44645946819098326,0.5775382287151023,0.5181649976187009,0.7150124300016261,0.5058376723941354,-0.7208461128576074,-0.7013069284303405,-0.7220105544153679,-0.7083450809240472
F7,-0.5389111281705308,0.8841767588069449,0.9884483640877527,0.9062872674821316,0.9008364700239635,-0.04882167109562036,0.7458387726688658,1.0,0.8614059005141029,0.9189720385237479,0.8848070017351538,0.8656328915291043,0.9897562084571147,0.9349301867421022,0.9069613296316448,0.8738582004726291,0.8299215462841422,0.9307161585924437,0.8777282948728559,0.7831268262989695,0.9106583939360245,0.7798561240473595,0.9068609782525924,-0.8230499254380554,-0.7621933630088663,-0.830500834434807,-0.7926456666163795
F8,-0.779541206014191,0.9819821681783182,0.8857075749937254,0.8606314126947004,0.9031100137545772,-0.0026207493437586877,0.7117504240591136,0.8614059005141029,1.0,0.9693016048276938,0.8651146959376977,0.9342659220091614,0.8844759027318254,0.9758551793978798,0.8865012089873817,0.9216629757530909,0.8208382530963882,0.9549674724346572,0.8613202817702595,0.9142898092544378,0.8669578232576705,0.8679028135312334,0.8663501779656855,-0.7934099015207089,-0.7544624135379517,-0.7953808523080498,-0.7596918053939071
F9,-0.6812092913715074,0.9486053051815467,0.9257241488652809,0.898438535008537,0.9227448052649664,-0.030150967578047243,0.7245470531471901,0.9189720385237479,0.9693016048276938,1.0,0.9075371827936379,0.9296871664661226,0.9346063346268951,0.9939960014541036,0.9199313172287695,0.9758071339743486,0.874052485966179,0.9945022432114312,0.904686311176241,0.9418453076924924,0.9223680941954219,0.9069291341806449,0.9198068493315292,-0.7577491480286671,-0.7047823655461992,-0.7622251356934162,-0.7195402349330455
